Track	Artist	Lyrics	Date	Gold	K1	K2	K3	L1	L2	L3	Sim K1	Sim K2	Sim K3	Sim L1	Sim L2	Sim L3
Jesus Lord	Kanye West	"Tell me if you know someone that needs (Jesus, Lord)Now, we've been through a lot of thingsTell me if you know someone that needs (Jesus, Lord)He lives in a lot of thingsTell me if you know someone that needs (Jesus, Lord)Been through a lot of thingsTell me if you know someone that needs (Jesus, Lord)Sittin' by myself, I'm just thinkin'About all I've been through, I wish I was dreamin'Man, it's hard to be an angel when you surrounded by demons (Jesus, Lord)I watched so many people leaveI see 'em change by the season, that's mama's seasonin'God got you, the devil's watchin', he just peekin' inI know I made a promise that I'd never let the reaper in (Jesus)But lately, I've been losin' all my deepest friends (Lord)And lately, I've been swimmin' on the deepest endIt's just drugs, it ain't no hugs, it ain't no love thereYou been down so much you don't even know what's upstairsSuicidal thoughts got you wonderin' what's up there (Jesus, Lord)And while I introduce the party, they say it's up thereToo many pills, so much potions, so much pain, too many emotionsAnd everything that you do good, it just go unnoticed (Jesus)Then they tell you that you good and just stay focused (Lord)Mama, you was the life of the partyI swear you brought life to the partyWhen you lost your life, it took the life out the party (Jesus)That woman rode with me like a Harley (Lord)Visions of my cousins in a cell really scarred meMovin' to the hood was like signin' up for the army'Cause they been killin' n- since n- was watchin' Barney (Jesus)You want dreams to come true? But I have nightmares (Lord)'Cause if that come to life, then I might not be right hereBeen in the dark so long, don't know if the light hereBut I'm just reachin' for the stars like Buzz Lightyear (Jesus)And now I'm light years ahead of those nightmares (Lord)I deaded those night terrors when the night clearsAnd if I talk to Christ, can I bring my mother back to life?And if I die tonight, will I see her in the afterlife? (Jesus)But back to reality where everything's a tragedy (Lord)And better have a strategy or you could be a statisticLittle boy dies, he's just one of the mysticAnd mama steady cryin' 'cause she really the victim (Jesus)Now she's gettin' high and she's gettin' addicted (Lord)And her older boy just stuck with the picture, painted vividThat's a family portrait and her daughter just absorbed it16, pregnant, baby daddy say she should abort it (Jesus)But we can't afford it, so she decides to move forward (Lord)Baby shower time, father didn't show upNow she just feelin' nauseous like she finna throw upThe water flows down her legs, yeah, it's finna go up (Jesus)A year done went by, her daughter just turned one (Lord)And she's still dependent on her momBig brother in the streets, he went and bought him a gunHe want revenge 'cause the pain, feelin' numb (Jesus)And her mom still doin' drugs 'cause that's the only time she feel loved (Lord)But is it real love? Do the scars really heal up?From all the pain that been built up, but they don't feel us (Jesus)A week done flew by, big bro ridin' then he see the guys (Lord)Left his little brother on the side, bleedin' from the sideHe seein' red, it's like he's bleedin' through his eyesTo see him dead, the only thing that'll help the grievin' up inside (Jesus)He even let him get they last meal (Lord)He done with the streets after this, this his last killHe gotta show him that it's that realHe ran up on him with the pipe like, ""N-, stand still"" (Jesus)""You took my brother life, you made my mother cry"" (Lord)""Tell me one reason I shouldn't send you up to Christ""He said, ""Go 'head, take my life, I've seen everything but Christ""The big bro just blacked out and all you seein' was the light (Jesus, Lord)Tell me if you know someone that needs (Jesus, Lord)Uh-huh, in the name of the true and living GodThe beneficent, the merciful (Hallelujah)Thank you for bringin' me up the rough side of the mountain like Ertuğrul (Jesus)Every knee bowed and every tongue confessed and paid homage (Lord)To the monk who visited Rothschilds like Thelonious did Pannonica (sheesh)It's Jay Elec-entendre-nica comin' through your monitorBack from the great beyond, the Son of Man and the son of Donda (Jesus)I never rolled the GXSR or the R6 or the Honda (Lord)But I flew my Ducati through North America like WakandaEarthquakes will strike this nation for what Bush did to Rwanda (facts)What the Clintons did to Haiti and Downing Street did to GhanaIn Tenochtitlan they call me Terremoto, El Negro Loco (Jesus)I shake the tectonic plates of the game if I lay one vocal (Lord)The God is interstellar while you fellas remain localMy bars is like the pyramid temples of Pacal Votan (Jesus)As sure as the DOJ confirmed Ezekiel's Wheel (Lord)I could change the world like Yacub with two pieces of steelMy sword and my microphone, I swore to the Christ's throneBut when you great, they wanna say you took an L, José Castillo (Jesus)I'm in the fight here, fight here, for what seemed like light years (Lord)My rugged cross and thorny crowns squeeze out Christ tears30 pieces of silver clout, my Pierre price tierIt's a war outside, it's a war outside (Jesus)It's like the last days of Sodom and Gomorrah outside (Lord)Tell me if you know someone that needs (Jesus, Lord)We've been through a lot of thingsTell me if you know someone that needs (Jesus, Lord)He lives in a lot of thingsTell me if you know someone that needs (Jesus, Lord)Been through a lot of thingsTell me if you know someone that needs (Jesus, Lord)What up, Ye? This Larry Hoover Jr.First and foremost, I wanna thank youFor taking the fight for my father to the Oval OfficeYou might not have been the only one that could've did thatBut you were the one that did do thatAnd with your assistanceWe can continue to let the world take part in this fightYou know to me it kinda feels like, me, my mother, my brothersAnd my kids have all been incarcerated through this journeyAnd we haven't even been to jailWe've been looked at and treated as criminals, for being a part of this familyMy father's truth and the reality that he raised me inIs that he wanted to make a change in this community'Cause the conditions in this capitalist societyIs what made him, and it's what made the children of todayAfter 25 years of bein' locked down, 23 and 1My father has not called any shotsFrom one of the most secure and segregated prisons in the worldAnd will not, once releasedCall any of the shots for the GangsterDisciplesIf my father's intentions were to lead us to death, destructionInto the hell that he has had to live in for the past 26 yearsMan, he would be dead to meI didn't sign up for thatI didn't stay on this journey this long for thatAll my life, man, I've been waitin' for my father to come homeThey told me when I graduate eighth grade, he would be homeThen they told me when I graduate from high school, he would be homeI went away to Morris Brown, I graduated and he still ain't homeNow I'm a adult, and my daughter went away to college and graduatedHe still not homeNow even more than that, my sonHe graduated eighth grade and we still waitin'Matter of fact, he hasn't huggedKissed, or touched any of his grandchildrenAnd they haven't been able to touch they grandfatherEven though it is not seen that way for some of usBut for many of us, Larry Hoover is a beacon of hope for his communityWho deserves to breathe free airFree my father (Jesus), Mr. Larry Hoover Sr. (Lord)"	No	Heartache	Religion	Spirituality	Spirituality	Religion	Reli	Faith	0.13	0.25	0.25	0.13	0.18	0.32
Blue Banisters	Lana del Rey	"There's a picture on the wall of me on a John DeereJenny handed me a beer, said, ""How the hell did you get there?""OklahomaMm, mmThere were flowers that were dry, sittin' on the dresserShe asked me where they're from, I said, ""A place I don't remember""Oklahoma (oh)Jenny jumped into the pool, she was swimmin' with Nikki LaneShe said, ""Most men don't want a woman with a legacy, it's of age""She said, ""You can't be a muse and be happy, tooYou can't blacken the pages with Russian poetry and be happy""And that scared me'Cause I met a man whoSaid he'd come back every MayJust to help me if I'd paintMy banisters blueBlue banisters, oohSaid he'd fix my weathervaneGive me children, take away my painAnd paint my banisters blueMy banisters blueThere's a hole that's in my heart all my women try and healThey're doin' a good job convincin' me that it's not realIt's heat lightningOh, oh'Cause there's a man that's in my past, there's a man that's still right hereHe's real enough to touch and in my darkest nightsHe's shinin'OohJenny was smokin' by the pool, we were writin' with Nikki LaneI said, ""I'm scared of the Santa Clarita Fires, I wish that it would rain""I said, ""The power of us three can bring absolutely anythingExcept that one thing, the diamonds, the rust, and the rainThe thing that washes away the pain""But that's okay, 'causeNow when weather turns to MayAll my sisters come to paintMy banisters greenMy blue banisters greyTex and Mex are in the BayChucky's makin' birthday cakeChickens runnin' barefeet, there's a baby on the wayAnd now my blue banisters are green and greyAh-ahSummer comes, winter goesSpring, I skip, God knowsSummer comes, winter goesSpring, I sleep, Heaven knowsEvery time it turns to MayAll my sisters fly to meTo paint, paint"	No	Heartache	Heartache	Longing	Reflection	Loneliness	Loneliness	Nostalgia	1.0	0.56	0.25	0.69	0.69	0.4
A Baltimore Love Thing	50 Cent	"She loves me, she loves me notYeah, she loves me notThe fiends need me, I ain't around it, bones acheDetox, rehab, cold sweat, watch 'em shakeI'm not that genie in a bottle, I'm in a bagTake one hit, I slide off to the land of the H manWhen we first met, I thought you'd never doubt meNow you tryna leave me, you'll never live without meGirl, I'm missin' you, come and see me soonTie your arm up, put that lighter under that spoonNow put that needle to ya arm, princess, stick it inRelapse you back, bitch, don't ever try that againAll that shit I did for you, I made you feel goodWe have a love thing, you treatin' this like it's just a flingWhat we have is more sacred than a vow or a ringYou broke my heart, you dirty bitch I won't forget what you didIf you give birth, I'll already be in love with your kidsListen, I don't give a damn if your ass start smokin'But we have a bond and it's not to be brokenWe got a love thing, girl, you try to leave meBut you need me, can you see you're addicted to me?We got a love thing, I can take you higher, girlFuckin' with me, you can be all you can beWe got a love thing, girl, you try to leave meBut you need me, can you see you're addicted to me?We got a love thing, I can take you higher, girlFuckin' with me, you can be all you can beBaby, you know, on the low your sister been eyein' meI'm good lookin', so you know, sure she be tryin' meI heard she bisexual, she fuck with that girlBut boy, oh boy, fuckin' wit' me is a whole 'nother worldAfter the first night, she fall in love, then chased a feelin'I hung out with Marvin when he wrote ""Sexual Healing""Kurt Cobain even good friends, Ozzy Ozbourne tooI be with rock stars, see you lucky I'm fuckin' with youI chill with Frankie Lymon and Jimi Hendrix crewSee this is new to you, but to me this ain't newI live a lavished life, listen if the mood is rightMe, you, and your sister can do the do tonightI never steer you wrong, you're hyper I make ya calmI be the incentive and reason for you to move forwardLet's make a date, promise me you'll come and see meEven if it means you have to sell ya mama's TVI love you, love me back, no one said lovin' me'd be easyWe got a love thing, girl, you try to leave meBut you need me, can you see you're addicted to meWe got a love thing, I can take you higher, girlFuckin' with me, you can be all you can beWe got a love thing, girl, you try to leave meBut you need me, can you see you're addicted to me?We got a love thing, I can take you higher, girlFuckin' with me, you can be all you can beI love you, I got you barefooted on glass, chasin' a doveThat monkey on your back symbolizes my loveYour friends talk bad about me, bitch, you sit there and listen to 'emOver and over you hurt me, my love is unconditionalThey talk to you when you up, you down, they got nothin' to sayBut when you call, I'll come runnin', I'll always take the pain awayThey set you up to let you down, they crowned you prom queenThey know 'bout me; behind your back, they call you a fuckin' fiendCan we just be alone, so I can kiss and hug youPush me inside you, no other man can loves you like I doCall me ""Daddy"", I'll make you feel good, I mean real goodI found pleasure in pleasin' you, like a real man shouldIt was written long before us, it was carved in a treeForever me and you, baby, we were meant to beThere's more to life than laughter, what brought us together was fateAnd we'll be hand in hand, when you walk through those pearly gatesAnd to see to that, I'ma do whatever it takesWe got a love thing, girl, you try to leave meBut you need me, can you see you're addicted to me?We got a love thing, I can take you higher, girlFuckin' with me, you can be all you can beWe got a love thing, girl, you try to leave meBut you need me, can you see you're addicted to me?We got a love thing, I can take you higher, girl"	Yes	Drugs	Drugs	Love	Addiction	Drugs	Drugs	Addiction	1.0	0.19	0.62	1.0	1.0	0.62
Bad	Frank Ocean	MafiaI stack these magazines in the cornerAfter I'm done with themI still got the same old love I started withWith you being one of themMy camera shed some tears since you left him with nothingWith nothingHow am I supposed to remember(Ooh)All the memoriesThe memories they fadedWhat am I gonna show to the kids, girl(Ooh)My mind is telling me to forget youWhat's gonna make me rememberThat's why I was always taking picturesPicturesCause I didn't wanna miss a thingMiss a thingTell me how could you take the picturesPicturesWhen you know they were all I had leftNothing leftThey were part of our historyThis storyI was always taking picturesCause I didn't wanna miss you badMiss you this badMiss you so badMiss you soWe didn't make love, we celebrated itInventionConfetti on the mattress I used to haveThose imagesTonight I came homeThey were just embers in the fireAlong with my heart dried (oh no no)Those long goodbyesHow the hell am I supposed to remember(Ooh, Tell me now)About the memories, the memories don't lastWhat am I gonna show to my kids, baby(Yeah yeah, ooh)When I'm olderWhen my mind's gonna start to forget youWhat's gonna be there to rememberThat's why I was always taking picturesPicturesCause I didn't wanna miss a thingMiss a thingTell me how could you take the picturesPicturesWhen you knew they were all that I had leftNothing leftThey were part of our historyMysteryI was always taking picturesCause I didn't wanna miss youNo videos or PolaroidsNo records of the love we hadMy night time wasn't fast enough to catch my heartbreak in halfNo smiles in my picture frames, noJust got themThe basic ones that the picture frames come withModels, where the pictureYou know (oh baby)That's why I was always taking picturesPicturesCause I didn't wanna miss a thingMiss a thingTell me how could you take the picturesPicturesWhen you knew they were all that I had leftNothing leftThey were part of our historyThis storyI was always taking picturesCause I didn't wanna miss you so badMiss you this badMiss you so badMiss you so	Yes	Drugs	Heartache	Regret	Angusih	Heartache	Heartache	Heartbreak	0.25	0.22	1.0	0.25	0.25	0.19
Beauty and the Beast	David Bowie	Ooo-oohWeaving down a byroad, singing a songThat's my kind of highroad gone wrong(My, my smile at least)You can't say no to the beauty and the beastSomething in the nightSomething in the dayNothing is wrong but darling, something's in the wayThere's slaughter in the airProtest on the windSomeone else inside meSomeone could get skinned, how?(My, my) someone fetch a priestYou can't say no to the beauty and the beastDarlingYou can't say no to the beauty and the beast(Liebling)(My, my)You can't say no to the beauty and the beastI wanted to believe meI wanted to be goodI wanted no distractionsLike every good boy shouldNothing will corrupt usNothing will competeThank god heaven left usStanding on our feet(My, my)Beauty and the beast (my, my)Just beauty and the beast (you can't say no to the beauty and the beast)DarlingMy, myMyMy, myMy	Yes	Drugs	Love	Love	Contrasts	Love	Love	Ambiguity	0.19	0.19	0.08	0.19	0.19	0.13
Brown Sugar	D’Angelo	Let me tell you 'bout this girl, maybe I shouldn'tI met her in Philly and her name was Brown SugarSee we be makin' love constantlyThat's why my eyes are a shade, blood burgundyThe way that we kiss is unlike any other way that I be kissin'What I'm kissin', what I'm missin', won't you listenBrown Sugar, babeI gets high off your love, I don't know how to behaveI want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)Oh, Sugar, when you're close to meYou love me right down to my kneesAnd whenever you let me hit itSweet like honey when it comes to meSkin is caramel with the coco eyesEven got a big sister by the name of Chocolate TyBrown Sugar, babeI gets high off your love, don't know how to behaveI want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)Now that be how the story goesBrown Sugar got me open now I want some moreAlways down for a ménage à troisBut I think I'ma hit it solo, hope my niggas don't mindStick out my tongue and I'm 'bout ready to hit this gritty pretty bitty with my sisters(Yo, I don't think y'all hear me)Brown Sugar, babeI gets high off your love, don't know how to behaveI want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)(Gimme some of your brown sugar, babe)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)I want some of your brown sugar (sugar)	Yes	Drugs	Sex	Sex	Temptation	Sex	Sex	Desire	0.36	0.36	0.25	0.36	0.36	0.29
Cold Turkey	John Lennon	Temperature's risingFever is highCan't see no futureCan't see no skyMy feet are so heavySo is my headI wish I was a babyI wish I was deadCold turkey has got me on the runMy body is achingGoose-pimple boneCan't see no bodyLeave me aloneMy eyes are wide openCan't get to sleepOne thing I'm sure ofI'm in at the deep freezeCold turkey has got me on the runCold turkey has got me on the runThirty-six hour Rolling in painPraying to someoneFree me againOh I'll be a good boyPlease make me wellI promise you anythingGet me out of this hellCold turkey has got me on the runOh, oh, oh, oh	Yes	Drugs	Drugs	Addiction	Withdrawal	Drugs	Drugs	Addiction	1.0	0.62	0.46	1.0	1.0	0.62
Tippa my Tongue	Red Hot Chili Peppers*	Ya, ya-ya-ya, ya-ya-ya, ya-ya-ya, yaWell, I'm an animal, something like a cannibalI'm very flammable and partially programmableCenturies of overuse, now I wear it nice and looseYa, ya-ya-ya, ya-ya-ya, ya-ya-ya, yaWell, it's ubiquitous, tell me, can you stick to this?I'm on the brink of this and tell me what you think of thisI'm in the Beauregard, slow me down if I get hardWe've only just begunFunky monks are on the runGonna get you with the tip of my tongueAnd when you walk awayI know what your kiss would sayGonna get you nowHer perfume smells like gasolineMy girlfriend's trash is nice and cleanAcid landing on my tongueI think you know we've just begunShe don't want the ladies roomTransatlantic super groomYour hairplane is a monumentThe sexy art of condimentsAnd now I know you by your scentLet it bleed we both get bentNeed a minute to prepareSonny's side was always CherWe've only just begunFunky monks are on the runGonna get you with the tip of my tongueAnd when you walk awayI know what your kiss would sayGonna get you with the tip of my tongueYa, ya-ya-ya, ya-ya-ya, ya-ya-ya, yaWell, I believe in love, perfectly receiving loveIt's vociferous and come and get a whiff of thisI'm at thepyramids, never had a fear of kidsYa, ya-ya-ya, ya-ya-ya, ya-ya-ya, yaI'm on the precipice, I come and make a mess of thisIt's the apocalypse, I try to get a sock of thisI'm at the county fairHaystack ride, I'll pull your hairWe've only just begunFunky monks are on the runGonna get you with the tip of my tongueAnd when you walk awayI know what your kiss would sayGonna get you with the tip of my tongueWe've only just begunFunky monks are on the runGonna get you with the tip of my tongueAnd when you walk awayI know what your kiss would sayGonna get you now	No	Drugs	Sex	Rebellion	Expression	Friendship	Friendship	Playfulness	0.36	0.14	0.23	0.17	0.17	0.03
Gasoline	The Weeknd	It's five AM, my time againI've soakin' up the moon, can't sleepIt's five AM, my time againI'm calling and you know it's meI'm pushing myself furtherI'm just tryna feel my heartbeat beat (beat)I wrap my hands around your neckYou love it when I always squeezeIt's five AM, I'm high againAnd you can see that I'm in painI've fallen into emptinessI want you 'cause we're both insaneI'm staring into the abyssI'm looking at myself againI'm dozing off to R.E.M.I'm trying not to lose my faithAnd I love it when you watch me sleepYou spin me 'round so I can breatheIt's only safe for you and meI know you won't let me ODAnd if I finally die in peaceJust wrap my body in these sheetsAnd pour out the gasolineIt don't mean much to meIt's five AM, I'm nihilistI know there's nothing after this (after this)Obsessing over aftermathsApocalypse and hopelessness (hopelessness)The only thing I understandIs zero sum of tenderness (tenderness)Oh, baby, please just hold me closeMake me believe there's more to liveAround, around, around, around we goIn this game called life, we are not freeAnd I love it when you watch me sleepYou spin me 'round so I can breatheIt's only safe for you and me (don't let me go)I know you won't let me OD (don't you let me go)And if I finally die in peace (ooh, yeah)Just wrap my body in these sheetsAnd pour out the gasolineIt don't mean much to meOhh-oh-oohOh-ooh-ooh-ohOhh-oh-oohHa, hey-uhHey, huh, hey, huhHuh, huh, huh, ha, huh	No	Drugs	Drugs	Liberation	Passion	Drugs	Addiction	Addiction	1.0	0.17	0.18	1.0	0.62	0.62
Jimmy, Brian and Mike	Eminem	"Yeah, woo, yeahThat's the idea, manThe fuckin' Red Wings are playin'Ayy, the fuckin' Red Wings are playin', manFuck, shut up, man, you're gonna fuckin' make me miss the gameIt goes, one, two, three, fourRush room, C4Need more bleach, breathe more (yo, I said)Reach for ether, either or (either one)Marcus paint, inhale, faintYeah, heh-heh, heh-heh, smells great, heh-heh (whoa)Acid, you don't got that? Just melt plasticThat's it, now let it smoke and smell that shitI can't see shit, you're foggin' up the roomGimme that shit, bitch, you're hoggin' the balloon (hey)I might just suck nitrous all night longIf I just die, Mike, just call my mom (9-1-1)Greg can drink a whole keg through a funnelPut his foot through it and crawl in it like a tunnelFrom the 3-1-3 to the 8-1-0Hey Brian, you ain't coverin' the rush holeYou're not doin' it right, pay attentionWho the fuck taught you to smoke, Bill Clinton?C'mon, inhale, puff, pass, puff, pass, okay, that's enough, damnTom, that's my mom's lamp, goddamn, dude, fuckin' calm down (sorry)Look at you guys, you're makin' a mess, where's Jason?""Dude, I'm in the basement with JeffHe just dropped a bunch of weights on his chestHelp me get 'em off, "" wait, you're breakin' his neck (alright)You grab that end, dick, I'll grab this endI told him not to lift when he sniffs, he don't listenGet me drunk, let me go and get me high tonightJimmy, no, Jimmy don't let me die tonightGet me home, Jimmy, don't let me drive tonightI just wanna get blown with Brian and MikeGet me drunk, let me go and get me high tonightJimmy, no, Jimmy don't let me die tonightGet me home, Jimmy, don't let me drive tonightI just wanna get blown with Brian and MikeRonnie, Bobby, Ricky and MikeRonnie, Bobby, Ricky and MikeRonnie, Bobby, Ricky and MikeRonnie, Bobby, Ricky and MikeI spilled beer on the carpet, the walls are drunk, you assholeI ain't leanin' on 'em, I'm holdin' 'em upShit, tonight, man, I ain't holdin' 'em upI'm openin' up shop to the cops and closin' it shutNineteen shots might seem like a lot, but it's notI ain't even buzzin', man, I swear to GodClown, stop, you're gonna scare the dogHe's gonna bark and Mr. Johnson's gonna come downstairs, and, ugh""Hey, I want some peace and quiet hereOr I'ma send the goddamn police in riot gear""Shut up Mr. Johnson, don't even startGo have another fuckin' heart attack, you old fartI hate that guy, Brian, that's the hamperWhat's the matter, you can't go to the damn bathroom?""Sorry, I had to shit, dude, where's the tissue?""I dunno, just use this XXL issueLook at this house, who put this couch crooked?Ow, stupid, you just stepped on my foot, now look atIt looks like I just stepped in a mud puddle, you fuckin' dick (I'm sorry)Shut up, butthole, you probably did it on purposeYou fuckin' drunk bastardHere, take your keys, go boozin' up GratiotI hate you guys, you ain't my friendsLook what you just did to my mom's eight by tensNow she's gonna blame me, I hope you're happy nowParty's over, everybody get your asses outOut, I said out, put the beer down, outGet me drunk, let me go and get me high tonightJimmy, no, Jimmy don't let me die tonightGet me home, Jimmy, don't let me drive tonightI just wanna get blown with Brian and MikeGet me drunk, let me go and get me high tonightJimmy, no, Jimmy don't let me die tonightGet me home, Jimmy, don't let me drive tonightI just wanna get blown with Brian and MikeRonnie, Bobby, Ricky and MikeRonnie, Bobby, Ricky and MikeRonnie, Bobby, Ricky and MikeRonnie, Bobby, Ricky and Mike"	No	Drugs	Friendship	Friendship	Companionship	Drugs	Drugs	Intoxication	0.17	0.17	0.15	1.0	1.0	0.41
Bad Habits (addiction)	Ed Sheeran	One, two, three, fourOoh-ooh, ooh-ooh-oohEvery time you come around, you know I can't say noEvery time the sun goes down, I let you take controlI can feel the paradise before my world implodesAnd tonight had something wonderfulMy bad habits lead to late nights endin' aloneConversations with a stranger I barely knowSwearin' this will be the last, but it probably won'tI got nothin' left to lose, or use, or doMy bad habits lead to wide eyes stare into spaceAnd I know I'll lose control of the things that I sayYeah, I was lookin' for a way out, now I can't escapeNothin' happens after two, it's trueIt's true, my bad habits lead to youOoh-ooh, ooh-ooh-oohMy bad habits lead to youOoh-ooh, ooh-ooh-oohMy bad habits lead to youEvery pure intention ends when the good times startFallin' over everything to reach the first time's sparkIt started under neon lights, and then it all got darkI only know how to go too farMy bad habits lead to late nights endin' aloneConversations with a stranger I barely knowSwearin' this will be the last, but it probably won'tI got nothin' left to lose, or use, or doMy bad habits lead to wide eyes stare into spaceAnd I know I'll lose control of the things that I sayYeah, I was lookin' for a way out, now I can't escapeNothin' happens after two, it's trueIt's true, my bad habits lead to youOoh-ooh, ooh-ooh-oohMy bad habits lead to youOoh-ooh, ooh-ooh-oohWe took the long way 'roundAnd burned 'til the fun ran out, nowMy bad habits lead to late nights endin' aloneConversations with a stranger I barely knowSwearin' this will be the last, but it probably won'tI got nothin' left to lose, or use, or doMy bad habits lead to wide eyes stare into spaceAnd I know I'll lose control of the things that I sayYeah, I was lookin' for a way out, now I can't escapeNothin' happens after two, it's trueIt's true, my bad habits lead to youOoh-ooh, ooh-ooh-oohMy bad habits lead to youOoh-ooh, ooh-ooh-oohMy bad habits lead to you	No	Drugs	Drugs	Addiction	Addiction	Addiction	Drugs	Addiction	1.0	0.62	0.62	0.62	1.0	0.62
Is This Love (09)	Eminem	"R-I-P to R-A-PE-M-I-N-E-M's back with the D-R-EAnd I'm theS-L-I-M (what?) S-H-A-D-Y (woo)I'm H-I-G-H (yeah), yeah, baby, highI'm not afraid of heights, and your B-O-D-YIs C-R to the A-Z-YThe G-U-Y with the mother-F-U-C-K-I-NC-H-A-I-N-S-A-W and the W-H-I-S-K-E-YAnd I don't wanna trouble you, waitBut before you skate, I'd like to try to break the iceLike a frozen lake, so you'll fall through, stay the nightStay like eight or nine'Cause on a scale of one to ten, that's how I rate your vibeLet me be your vibrator (get it?)Your body's slammin' like Andre the GiantTwo wrongs make a rightLet me take you by the arm, I'm alligator-like (bite her arm)Gal, I waited all my life for you, heart is racin' like Talladega NightsSick minds think alike, girl, you got me singin', likeGirl, I've been watchin' what you doAnd baby, I ain't never met a woman quite like you (like you)So tell me what I gotta doI've never been with a virgin, but I'd sure like to (yeah)Is this love that I'm feelin'?How do I describe the vibe that I'm feelin' inside?I'm in the mood for sexual healin'Girl, I'm diggin' your whole M-O, give me a goYou're throwin' innuendos, keep sendin' me smoke signals (yeah)Everything's movin', spinning in slow M-O-T-I-O-N nowAnything goes, earlobeNibbling so gentle, then we disrobe, she goesEmily Rose, middle of givin' me dome, she frozeLiterally goes mental, screams, she's broke, fragileEmpty and so brittle, Henny and coke can make women emotionalTold her she ain't just some twenty-some year old bimboThen we indulged in so many of those benzosThat I proposed, then gave the strippers a pole""Finish me, ma"", then dozedThen we awoke, like, ""Yo, did we elope?""Give me a Jolt, my mind's blank, I'm sipping in hopesIt'll jog it, I thought this was a memory foam pillowThen why the fuck are we remembering so little?Girl, I've been watchin' what you doAnd baby, I ain't never met a woman quite like you (like you)So tell me what I gotta doI've never been with a virgin, but I'd sure like to (yeah)Is this love that I'm feelin'?How do I describe the vibe that I'm feelin' inside?I'm in the mood for sexual healin'50I kill a bitch with a potato peeler for the skrillaI'm finna skin a sinner, dick robbed like Bruce JennerLong time, it turns me on, ILike it like I like snuff flicks, sip piss, eat shitYou're workin' my nerves, louder now, come on, bark, bitchHigh off Shady's codeine, Shady done rubbed off on meYeah, bitch, bone me 'fore he used the chainsaw for meAfter you see my G-U-N, a pine box we will see you inYou can't believe it's me again, I B-I-G T-I-M-EK-I-L-L very W-E-L-LGo to Hell, R-U-N, T-E-L-LI'm comin', straight dumbin' with my gun in handThere's no options, I'm P-O-P-P-I-NYou're dyin', doc's still tryin' to save youIf you survive, I'ma show you what the gauge doI'm the type there's nothing you can say to(Ayo, bring that hook back)Girl, I've been watchin' what you doAnd baby, I ain't never met a woman quite like you (like you)So tell me what I gotta doI've never been with a virgin, but I'd sure like to (yeah)Is this love that I'm feelin'?How do I describe the vibe that I'm feelin' inside?I'm in the mood for sexual healin'"	No	Drugs	Love	Love	Uncertainty	Sex	Sex	Desire	0.19	0.19	0.21	0.36	0.36	0.29
40	U2	I waited patiently for the LordHe inclined and heard my cryHe lifts me up out of the pitOut of the miry clayI will sing, sing a new songI will sing, sing a new songHow long to sing this song?How long to sing this song?How long, how long, how longHow long to sing this song?You set my feet upon a rockMade my footsteps firmMany will seeMany will see and hearI will sing, sing a new songI will sing, sing a new songHow long to sing this song?How long to sing this song?How long, how long, how longHow long to sing this song?	Yes	Religion	Religion	Reflection	Contemplation	Religion	Religion	Reflection	1.0	0.38	0.38	1.0	1.0	0.38
Act of God	Prince	"Dirty fat banker sold a house todaySold at auction wants the family out the wayKick them on the street, cause he couldn't pay the taxCall it an act of GodI get a million dollars people hear me sangGot to give the banker half of everythingDidn't the founding fathers holler about the same thing(Yes They did)Call it an act of GodBut I got news for youFreedom ain't freeThey lock you in a cell if you try to beBut the ones who say ""no"", make historyCall it an act of God(Act Of God)Tax dollars build a plane drop a bombSupposedly to keep us all safe from SaddamBringing bad news to another womanCall it an Act of GodBut I got news for youFreedom ain't freeThey lock you in a cell if you try to beBut the ones who say ""no"", make historyCall it an act of God(Act Of God)Funny how nobody's holy books are the sameEverybody's God got a different nameThe day that it's over is the end of the gameAnd they call it an act of GodHey, it will be all over when the people are freeFree to be who and what they want to beWherever we go it's up to you and meCall it an act of GodWe so tired said we through with fearThere never was no hell or boogie man hereIf he was seen, look; he was in your mirrorCall it an act of GodCall it what you want except an act of GodCall it what you want except an act of GodCall it what you want except an act of GodCall it an act of GodOh LordCall it what you you want except an act of GodCall it what you you want except an act of GodCall it what you you want except an act of GodCall it what you you want except an act of GodCall it what you you want except an act of God"	Yes	Religion	Religion	Faith	Faith	Religion	Religion	Protest	1.0	0.72	0.72	1.0	1.0	0.33
